category,price,date
Bags,10,2020-11-01T00:27:14.000Z
Apparel,21,2020-11-01T00:27:14.000Z
New,28,2020-11-01T01:44:44.000Z
Fun,2,2020-11-01T01:44:44.000Z
New,25,2020-11-01T04:11:11.000Z
Apparel,22,2020-11-01T06:17:40.000Z
Apparel,29,2020-11-01T06:17:40.000Z
Apparel,20,2020-11-01T06:17:40.000Z
Apparel,13,2020-11-01T06:17:40.000Z
Campus Collection,7,2020-11-01T09:53:30.000Z
Campus Collection,1,2020-11-01T09:53:30.000Z
Campus Collection,7,2020-11-01T09:53:30.000Z
Small Goods,16,2020-11-01T09:53:30.000Z
Accessories,16,2020-11-01T11:06:54.000Z
Accessories,8,2020-11-01T11:06:54.000Z
Campus Collection,11,2020-11-01T11:06:54.000Z
Accessories,2,2020-11-01T11:06:54.000Z
Clearance,13,2020-11-01T11:06:54.000Z
Clearance,12,2020-11-01T11:06:54.000Z
Apparel,13,2020-11-01T12:18:34.000Z
Apparel,18,2020-11-01T12:18:34.000Z
Accessories,17,2020-11-01T13:24:02.000Z
Apparel,55,2020-11-01T15:12:13.000Z
Shop by Brand,30,2020-11-01T15:24:50.000Z
Apparel,32,2020-11-01T17:38:27.000Z
Campus Collection,14,2020-11-01T17:41:52.000Z
Apparel,38,2020-11-01T17:41:52.000Z
Campus Collection,7,2020-11-01T17:41:52.000Z
Apparel,120,2020-11-01T20:46:35.000Z
Campus Collection,6,2020-11-01T23:24:17.000Z
Campus Collection,14,2020-11-01T23:24:17.000Z
Campus Collection,7,2020-11-01T23:24:17.000Z
Campus Collection,14,2020-11-01T23:24:17.000Z
Campus Collection,7,2020-11-02T03:12:12.000Z
Drinkware,24,2020-11-02T03:12:12.000Z
Campus Collection,7,2020-11-02T03:13:23.000Z
Drinkware,24,2020-11-02T03:13:23.000Z
Apparel,18,2020-11-02T03:46:45.000Z
Uncategorized Items,9,2020-11-02T03:46:45.000Z
Apparel,35,2020-11-02T03:46:45.000Z
Clearance,9,2020-11-02T03:46:45.000Z
Uncategorized Items,9,2020-11-02T03:57:22.000Z
Apparel,14,2020-11-02T03:57:22.000Z
Clearance,9,2020-11-02T03:57:22.000Z
Apparel,35,2020-11-02T03:57:22.000Z
Apparel,18,2020-11-02T03:57:22.000Z
Clearance,9,2020-11-02T03:57:22.000Z
Apparel,38,2020-11-02T04:47:49.000Z
Apparel,24,2020-11-02T05:17:22.000Z
New,28,2020-11-02T06:19:59.000Z
New,16,2020-11-02T08:38:22.000Z
Apparel,55,2020-11-02T08:38:22.000Z
Office,16,2020-11-02T08:38:22.000Z
Apparel,14,2020-11-02T08:38:22.000Z
Shop by Brand,25,2020-11-02T08:38:22.000Z
New,12,2020-11-02T08:38:22.000Z
Office,16,2020-11-02T08:47:21.000Z
New,16,2020-11-02T08:47:21.000Z
Apparel,48,2020-11-02T08:47:21.000Z
Shop by Brand,25,2020-11-02T08:47:21.000Z
Apparel,14,2020-11-02T08:47:21.000Z
New,12,2020-11-02T08:47:21.000Z
Office,3,2020-11-02T09:29:56.000Z
Apparel,92,2020-11-02T09:29:56.000Z
Shop by Brand,25,2020-11-02T09:29:56.000Z
New,12,2020-11-02T09:29:56.000Z
New,12,2020-11-02T09:29:56.000Z
New,12,2020-11-02T09:29:56.000Z
Stationery,1,2020-11-02T09:29:56.000Z
New,15,2020-11-02T09:29:56.000Z
New,12,2020-11-02T09:46:54.000Z
Apparel,115,2020-11-02T09:46:54.000Z
Apparel,14,2020-11-02T09:46:54.000Z
New,12,2020-11-02T09:46:54.000Z
Drinkware,4,2020-11-02T09:52:58.000Z
Office,3,2020-11-02T09:52:58.000Z
Apparel,92,2020-11-02T09:54:37.000Z
Apparel,14,2020-11-02T09:54:37.000Z
New,12,2020-11-02T09:54:37.000Z
Office,16,2020-11-02T09:54:37.000Z
New,12,2020-11-02T09:54:37.000Z
Accessories,2,2020-11-02T10:38:36.000Z
Apparel,19,2020-11-02T10:38:36.000Z
Apparel,14,2020-11-02T10:38:36.000Z
Google,3,2020-11-02T10:38:36.000Z
Apparel,14,2020-11-02T10:38:36.000Z
Drinkware,24,2020-11-02T10:44:41.000Z
Campus Collection,7,2020-11-02T10:44:41.000Z
New,28,2020-11-02T10:44:41.000Z
Campus Collection,7,2020-11-02T10:44:41.000Z
Apparel,48,2020-11-02T10:44:41.000Z
Campus Collection,11,2020-11-02T10:44:41.000Z
Apparel,18,2020-11-02T10:44:41.000Z
Shop by Brand,2,2020-11-02T11:26:49.000Z
Shop by Brand,30,2020-11-02T11:26:49.000Z
New,12,2020-11-02T11:39:02.000Z
Apparel,19,2020-11-02T11:39:02.000Z
New,2,2020-11-02T11:39:02.000Z
Accessories,6,2020-11-02T11:39:02.000Z
Accessories,2,2020-11-02T11:39:02.000Z
Eco-Friendly,19,2020-11-02T11:43:43.000Z
Apparel,55,2020-11-02T11:53:34.000Z
Apparel,92,2020-11-02T11:53:34.000Z
Shop by Brand,44,2020-11-02T11:53:34.000Z
Google,3,2020-11-02T11:59:30.000Z
Drinkware,24,2020-11-02T11:59:30.000Z
Lifestyle,16,2020-11-02T11:59:30.000Z
Clearance,14,2020-11-02T12:05:14.000Z
Apparel,14,2020-11-02T12:05:14.000Z
New,16,2020-11-02T12:10:41.000Z
Clearance,3,2020-11-02T12:24:03.000Z
Apparel,48,2020-11-02T12:24:03.000Z
Drinkware,10,2020-11-02T12:58:25.000Z
Drinkware,10,2020-11-02T13:03:06.000Z
Drinkware,10,2020-11-02T13:06:19.000Z
Drinkware,10,2020-11-02T13:10:47.000Z
New,8,2020-11-02T14:23:54.000Z
Bags,58,2020-11-02T14:23:54.000Z
Apparel,48,2020-11-02T14:23:54.000Z
Shop by Brand,25,2020-11-02T14:23:54.000Z
Drinkware,24,2020-11-02T15:22:00.000Z
Apparel,48,2020-11-02T15:22:00.000Z
Apparel,10,2020-11-02T15:22:00.000Z
Apparel,10,2020-11-02T15:22:00.000Z
Bags,60,2020-11-02T15:44:05.000Z
Drinkware,24,2020-11-02T15:44:05.000Z
Apparel,96,2020-11-02T15:44:05.000Z
Apparel,18,2020-11-02T16:00:09.000Z
Apparel,22,2020-11-02T16:00:09.000Z
Stationery,1,2020-11-02T16:26:57.000Z
Apparel,48,2020-11-02T16:26:57.000Z
Apparel,44,2020-11-02T16:26:57.000Z
Apparel,96,2020-11-02T16:38:27.000Z
Apparel,92,2020-11-02T16:38:27.000Z
Apparel,30,2020-11-02T16:38:27.000Z
Accessories,4,2020-11-02T17:39:12.000Z
New,3,2020-11-02T17:39:12.000Z
Lifestyle,16,2020-11-02T17:39:12.000Z
Accessories,3,2020-11-02T17:39:12.000Z
Office,16,2020-11-02T17:39:12.000Z
Drinkware,18,2020-11-02T17:39:12.000Z
Drinkware,20,2020-11-02T18:03:46.000Z
Apparel,38,2020-11-02T18:03:46.000Z
Accessories,4,2020-11-02T18:03:46.000Z
Apparel,38,2020-11-02T18:03:46.000Z
Apparel,32,2020-11-02T18:03:46.000Z
New,12,2020-11-02T18:54:52.000Z
Shop by Brand,30,2020-11-02T18:54:52.000Z
Apparel,24,2020-11-02T18:54:52.000Z
Apparel,18,2020-11-02T19:11:58.000Z
Accessories,11,2020-11-02T19:11:58.000Z
New,12,2020-11-02T19:11:58.000Z
Apparel,10,2020-11-02T19:11:58.000Z
Shop by Brand,30,2020-11-02T19:38:07.000Z
Shop by Brand,37,2020-11-02T19:38:07.000Z
Apparel,55,2020-11-02T19:39:19.000Z
Apparel,21,2020-11-02T19:41:27.000Z
Uncategorized Items,18,2020-11-02T19:41:27.000Z
